"동작구, 사당3동·상도2동 주민센터 재건축","[헤럴드경제=최정호 기자]동작구(구청장 이창우)가 건립된 지 30년이 넘은 사당3동, 상도2동 주민센터 재건축에 착수했다. 1987년 건립된 상도2동 주민센터는 기존 청사 연면적이 636㎡로 관..."
"종로구, 막혀있는 빗물받이·하수도 ‘뻥’ 뚫는다",[헤럴드경제=최정호 기자]종로구가 여름철 침수 피해를 예방하고 악취발생 요인을 사전 제거하기 위해 하수도 및 빗물받이 준설공사에 나선다. 종로구는 30일 광화문 일대를 포함한 유동인구...
"동대문구, 스마트 재난안전상황실 시스템 구축",[헤럴드경제=최정호 기자]동대문구(구청장 유덕열)가 기후 변화와 재난에 선제적 대응이 가능하도록 영상회의 시스템을 포함한 스마트 재난안전상황실 시스템 구축에 나선다. 동대문구는 재...
"서울시, 잠실야구장 원정팀 낙후시설 보수 완료",서울시 잠실야구장이 '2022 프로야구' 잠실 개막전을 앞두고 총 27억원을 들여 대대적인 시설 개선공사를 마무리했다. 야구계의 숙원이었던 원정팀 낙후시설을 전면 개선해 선수들이 경기에 ...
"동작구, 냉·난방에 충전기·UV살균까지 ‘스마트 버스정류장’ 만든다",[헤럴드경제=최정호 기자]동작구(구청장 이창우)가 숭실대입구역 3번 출구에 있는 버스정류장에 다양한 스마트 기술을 접목한 ‘동작구 스마트 쉼터’를 조성하고 시범 운영에 나섰다. 미세...
"종로구, 국가유공자 장례용품 지원",[헤럴드경제=최정호 기자]종로구가 ‘국가유공자 장례서비스 지원 사업’을 시행한다고 28일 밝혔다. 나라를 위해 희생공헌한 국가유공자를 예우하고 마지막 순간을 지원함으로써 이들에 대...
사가정역 먹자골목  ‘사가정51길’로 새단장,[헤럴드경제=최정호 기자]중랑구 먹자골목이 ‘사가정51길’로 새롭게 단장했다. 먹자골목 상권 특색을 살리면서도 만남과 소통의 장소로 정비한 것이다. 중랑구(구청장 류경기)는 28일 사가...
"서울시, 텃밭에서 먹거리 기르고 스트레스도 풀어요",[헤럴드경제=최정호 기자]텃밭을 만들고 수확하면서 스트레스를 풀 수 있는 ‘치유농업 장기프로그램’이 운영된다. 서울시는 스트레스로 인해 휴식이 필요한 서울 시민들을 대상으로 텃밭 ...
"은평구, 1천6백개 노후건물 '안전점검' 시행",은평구(구청장 김미경)는 소규모 노후 건축물을 대상으로 ‘찾아가는 안전점검’을 시행한다. 소규모 건춘물은 각종 법령 등에서 정한 건축물 안전점검대상에서 제외돼 상대적으로 안전관리...
"서초역~강남역 서초대로 일대, 서리풀터널 개통 대응 재정비",강남역부터 교대역을 거쳐 서초역까지 이르는 서초대로 일대 지구단위계획안이 마련됐다. 서울시는 지난 23일 열린 서울시 도시·건축공동위원회에서 '서초로 지구단위계획 결정변경안'을 수...
"노원구, 청년 취업지원 ‘노원찬스 3’ 프로그램 가동",[헤럴드경제=최정호 기자]서울 노원구(구청장 오승록)가 미취업 청년에게 취업장려금 50만원과 추가 혜택을 제공하는 ‘노원찬스 3’ 사업을 실시한다고 24일 밝혔다. ‘노원찬스 3’은 노원...
청와대 인근 '경복궁서측' 장기 미집행 주차장계획 폐지,"서울시는 지난 23일 제4차 도시·건축공동위원회를 열고, 종로구 효자동 196-2번지에 대한 경복궁서측 지구단위계획구역 내 도시계획시설(주차장) 변경 결정을 '원안가결' 했다고 24일 밝혔다..."
"종로구, 관내 6개 하천 해빙기 안전점검 실시",[헤럴드경제=최정호 기자]종로구가 쾌적한 자연환경을 제공하고 위험 요소를 사전에 정비하는 ‘2022 해빙기 하천점검’에 나선다. 얼었던 땅이 녹으면서 지반이 약해지는 시기에 하천에서 ...
"서울시, 150가구 미만 소규모 공동주택 안전점검 비용 전액 지원",서울시가 안전관리 사각지대에 있는 150가구 미만 소규모 공동주택에 대한 안전점검 비용을 전액 지원한다고 24일 밝혔다. 올해는 67개 단지(156개동)의 안전점검에 나설 계획이다. 서울시에...
